Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C4273	'ABP_InventoryPlayerController::FindPlayerInventoryComponent': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryPlayerController.cpp	110		
Error	C4273	'ABP_InventoryManager::execCreateItemFromDataTable': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	65		
Error	C4273	'ABP_InventoryManager::execCreateItemFromID': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	121		
Error	C4273	'ABP_InventoryManager::execCreateItemFromRowData': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	176		
Error	C4273	'ABP_InventoryManager::execCreateMultipleItems': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	233		
Error	C4273	'ABP_InventoryManager::execGetAllItemIDs': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	280		
Error	C4273	'ABP_InventoryManager::execGetInventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	336		
Error	C4273	'ABP_InventoryManager::execGetItemData': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	386		
Error	C4273	'ABP_InventoryManager::execLoadItemDataTable': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	447		
Error	C4273	'ABP_InventoryManager::StaticRegisterNativesABP_InventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	458		
Error	C4273	'ABP_InventoryManager::GetPrivateStaticClass': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	473		
Error	C4273	'Z_Construct_UClass_ABP_InventoryManager_NoRegister': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	474		
Error	C4273	'Z_Construct_UClass_ABP_InventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	568		
Error	C4273	'ABP_InventoryManager::ABP_InventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	580		
Error	C4273	'ABP_InventoryManager::~ABP_InventoryManager': inconsistent dll linkage	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Intermediate\Build\Win64\UnrealEditor\Inc\InventorySystem\UHT\BP_InventoryManager.gen.cpp	581		
