Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	MSB3073	The command ""C:\Program Files\Epic Games\UE_5.5\Engine\Build\BatchFiles\Build.bat" InventorySystemEditor Win64 Development -Project="C:\Users\chris\Documents\Unreal Projects\InventorySystem\InventorySystem.uproject" -WaitMutex -FromMsBuild -architecture=x64" exited with code 6.	InventorySystem	C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\Microsoft.MakeFile.Targets	44		
Warning (active)	CS8981	The type name 'astcenc' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\astcenc\astcenc.Build.cs	6		
Warning (active)	CS8981	The type name 'coremod' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\coremod\coremod.Build.cs	6		
Warning (active)	CS8981	The type name 'heapprofd' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\heapprofd\heapprofd.Build.cs	6		
Warning (active)	CS8981	The type name 'jemalloc' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\jemalloc\jemalloc.Build.cs	5		
Warning (active)	CS8981	The type name 'libav' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\libav\libav.Build.cs	7		
Warning (active)	CS8981	The type name 'libcurl' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\libcurl\libcurl.Build.cs	6		
Warning (active)	CS8981	The type name 'libpas' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\libpas\src\libpas\libpas.Build.cs	7		
Warning (active)	CS8981	The type name 'libstrophe' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\libstrophe\libstrophe.Build.cs	6		
Warning (active)	CS8981	The type name 'libzip' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\libzip\libzip.Build.cs	6		
Warning (active)	CS8981	The type name 'metis' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\metis\metis.Build.cs	5		
Warning (active)	CS8981	The type name 'mimalloc' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\mimalloc\mimalloc.Build.cs	6		
Warning (active)	CS8981	The type name 'nanoflann' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\nanoflann\nanoflann.Build.cs	6		
Warning (active)	CS8981	The type name 'portmidi' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\portmidi\portmidi.Build.cs	5		
Warning (active)	CS8981	The type name 'xxhash' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\xxhash\xxhash.Build.cs	6		
Warning (active)	CS8981	The type name 'zlib' only contains lower-cased ascii characters. Such names may become reserved for the language.	UE5Rules	C:\Program Files\Epic Games\UE_5.5\Engine\Source\ThirdParty\zlib\zlib.Build.cs	6		
Error		The specifier 'CallInEditor' found a value when none was expected in function specifiers	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_ExampleCharacter.h	91		
Error		The specifier 'CallInEditor' found a value when none was expected in function specifiers	InventorySystem	C:\Users\chris\Documents\Unreal Projects\InventorySystem\Source\InventorySystem\BP_InventoryManager.h	57		
